행정구역,2025년10월_계_총인구수,2025년10월_계_연령구간인구수,2025년10월_계_0세,2025년10월_계_1세,2025년10월_계_2세,2025년10월_계_3세,2025년10월_계_4세,2025년10월_계_5세,2025년10월_계_6세,2025년10월_계_7세,2025년10월_계_8세,2025년10월_계_9세,2025년10월_계_10세,2025년10월_계_11세,2025년10월_계_12세,2025년10월_계_13세,2025년10월_계_14세,2025년10월_계_15세,2025년10월_계_16세,2025년10월_계_17세,2025년10월_계_18세,2025년10월_계_19세,2025년10월_계_20세,2025년10월_계_21세,2025년10월_계_22세,2025년10월_계_23세,2025년10월_계_24세,2025년10월_계_25세,2025년10월_계_26세,2025년10월_계_27세,2025년10월_계_28세,2025년10월_계_29세,2025년10월_계_30세,2025년10월_계_31세,2025년10월_계_32세,2025년10월_계_33세,2025년10월_계_34세,2025년10월_계_35세,2025년10월_계_36세,2025년10월_계_37세,2025년10월_계_38세,2025년10월_계_39세,2025년10월_계_40세,2025년10월_계_41세,2025년10월_계_42세,2025년10월_계_43세,2025년10월_계_44세,2025년10월_계_45세,2025년10월_계_46세,2025년10월_계_47세,2025년10월_계_48세,2025년10월_계_49세,2025년10월_계_50세,2025년10월_계_51세,2025년10월_계_52세,2025년10월_계_53세,2025년10월_계_54세,2025년10월_계_55세,2025년10월_계_56세,2025년10월_계_57세,2025년10월_계_58세,2025년10월_계_59세,2025년10월_계_60세,2025년10월_계_61세,2025년10월_계_62세,2025년10월_계_63세,2025년10월_계_64세,2025년10월_계_65세,2025년10월_계_66세,2025년10월_계_67세,2025년10월_계_68세,2025년10월_계_69세,2025년10월_계_70세,2025년10월_계_71세,2025년10월_계_72세,2025년10월_계_73세,2025년10월_계_74세,2025년10월_계_75세,2025년10월_계_76세,2025년10월_계_77세,2025년10월_계_78세,2025년10월_계_79세,2025년10월_계_80세,2025년10월_계_81세,2025년10월_계_82세,2025년10월_계_83세,2025년10월_계_84세,2025년10월_계_85세,2025년10월_계_86세,2025년10월_계_87세,2025년10월_계_88세,2025년10월_계_89세,2025년10월_계_90세,2025년10월_계_91세,2025년10월_계_92세,2025년10월_계_93세,2025년10월_계_94세,2025년10월_계_95세,2025년10월_계_96세,2025년10월_계_97세,2025년10월_계_98세,2025년10월_계_99세,2025년10월_계_100세 이상,2025년10월_남_총인구수,2025년10월_남_연령구간인구수,2025년10월_남_0세,2025년10월_남_1세,2025년10월_남_2세,2025년10월_남_3세,2025년10월_남_4세,2025년10월_남_5세,2025년10월_남_6세,2025년10월_남_7세,2025년10월_남_8세,2025년10월_남_9세,2025년10월_남_10세,2025년10월_남_11세,2025년10월_남_12세,2025년10월_남_13세,2025년10월_남_14세,2025년10월_남_15세,2025년10월_남_16세,2025년10월_남_17세,2025년10월_남_18세,2025년10월_남_19세,2025년10월_남_20세,2025년10월_남_21세,2025년10월_남_22세,2025년10월_남_23세,2025년10월_남_24세,2025년10월_남_25세,2025년10월_남_26세,2025년10월_남_27세,2025년10월_남_28세,2025년10월_남_29세,2025년10월_남_30세,2025년10월_남_31세,2025년10월_남_32세,2025년10월_남_33세,2025년10월_남_34세,2025년10월_남_35세,2025년10월_남_36세,2025년10월_남_37세,2025년10월_남_38세,2025년10월_남_39세,2025년10월_남_40세,2025년10월_남_41세,2025년10월_남_42세,2025년10월_남_43세,2025년10월_남_44세,2025년10월_남_45세,2025년10월_남_46세,2025년10월_남_47세,2025년10월_남_48세,2025년10월_남_49세,2025년10월_남_50세,2025년10월_남_51세,2025년10월_남_52세,2025년10월_남_53세,2025년10월_남_54세,2025년10월_남_55세,2025년10월_남_56세,2025년10월_남_57세,2025년10월_남_58세,2025년10월_남_59세,2025년10월_남_60세,2025년10월_남_61세,2025년10월_남_62세,2025년10월_남_63세,2025년10월_남_64세,2025년10월_남_65세,2025년10월_남_66세,2025년10월_남_67세,2025년10월_남_68세,2025년10월_남_69세,2025년10월_남_70세,2025년10월_남_71세,2025년10월_남_72세,2025년10월_남_73세,2025년10월_남_74세,2025년10월_남_75세,2025년10월_남_76세,2025년10월_남_77세,2025년10월_남_78세,2025년10월_남_79세,2025년10월_남_80세,2025년10월_남_81세,2025년10월_남_82세,2025년10월_남_83세,2025년10월_남_84세,2025년10월_남_85세,2025년10월_남_86세,2025년10월_남_87세,2025년10월_남_88세,2025년10월_남_89세,2025년10월_남_90세,2025년10월_남_91세,2025년10월_남_92세,2025년10월_남_93세,2025년10월_남_94세,2025년10월_남_95세,2025년10월_남_96세,2025년10월_남_97세,2025년10월_남_98세,2025년10월_남_99세,2025년10월_남_100세 이상,2025년10월_여_총인구수,2025년10월_여_연령구간인구수,2025년10월_여_0세,2025년10월_여_1세,2025년10월_여_2세,2025년10월_여_3세,2025년10월_여_4세,2025년10월_여_5세,2025년10월_여_6세,2025년10월_여_7세,2025년10월_여_8세,2025년10월_여_9세,2025년10월_여_10세,2025년10월_여_11세,2025년10월_여_12세,2025년10월_여_13세,2025년10월_여_14세,2025년10월_여_15세,2025년10월_여_16세,2025년10월_여_17세,2025년10월_여_18세,2025년10월_여_19세,2025년10월_여_20세,2025년10월_여_21세,2025년10월_여_22세,2025년10월_여_23세,2025년10월_여_24세,2025년10월_여_25세,2025년10월_여_26세,2025년10월_여_27세,2025년10월_여_28세,2025년10월_여_29세,2025년10월_여_30세,2025년10월_여_31세,2025년10월_여_32세,2025년10월_여_33세,2025년10월_여_34세,2025년10월_여_35세,2025년10월_여_36세,2025년10월_여_37세,2025년10월_여_38세,2025년10월_여_39세,2025년10월_여_40세,2025년10월_여_41세,2025년10월_여_42세,2025년10월_여_43세,2025년10월_여_44세,2025년10월_여_45세,2025년10월_여_46세,2025년10월_여_47세,2025년10월_여_48세,2025년10월_여_49세,2025년10월_여_50세,2025년10월_여_51세,2025년10월_여_52세,2025년10월_여_53세,2025년10월_여_54세,2025년10월_여_55세,2025년10월_여_56세,2025년10월_여_57세,2025년10월_여_58세,2025년10월_여_59세,2025년10월_여_60세,2025년10월_여_61세,2025년10월_여_62세,2025년10월_여_63세,2025년10월_여_64세,2025년10월_여_65세,2025년10월_여_66세,2025년10월_여_67세,2025년10월_여_68세,2025년10월_여_69세,2025년10월_여_70세,2025년10월_여_71세,2025년10월_여_72세,2025년10월_여_73세,2025년10월_여_74세,2025년10월_여_75세,2025년10월_여_76세,2025년10월_여_77세,2025년10월_여_78세,2025년10월_여_79세,2025년10월_여_80세,2025년10월_여_81세,2025년10월_여_82세,2025년10월_여_83세,2025년10월_여_84세,2025년10월_여_85세,2025년10월_여_86세,2025년10월_여_87세,2025년10월_여_88세,2025년10월_여_89세,2025년10월_여_90세,2025년10월_여_91세,2025년10월_여_92세,2025년10월_여_93세,2025년10월_여_94세,2025년10월_여_95세,2025년10월_여_96세,2025년10월_여_97세,2025년10월_여_98세,2025년10월_여_99세,2025년10월_여_100세 이상
대구광역시  (2700000000),"2,355,677","2,355,677","10,742","10,341","10,209","11,150","11,887","13,001","14,625","15,911","17,519","20,039","20,751","20,602","20,779","22,752","21,993","21,182","20,274","21,772","22,339","20,510","20,662","22,638","23,596","23,358","26,335","28,480","26,372","27,031","28,426","29,282","29,747","29,761","30,207","31,037","28,987","28,157","27,491","25,709","26,714","27,148","27,304","28,854","32,603","36,276","36,596","37,879","35,732","32,871","34,590","34,565","36,603","40,319","40,900","41,528","43,769","42,910","43,157","44,231","40,979","39,203","39,938","37,165","39,115","40,409","43,559","41,937","38,148","32,758","34,143","31,318","31,790","25,837","25,062","26,398","19,802","19,820","21,009","19,519","18,192","11,946","12,106","13,565","13,763","14,324","11,119","9,548","8,831","7,301","6,167","5,070","4,321","3,153","2,327","1,880","1,249",878,646,440,296,155,288,"1,154,160","1,154,160","5,494","5,334","5,199","5,746","6,115","6,677","7,644","8,087","8,975","10,284","10,653","10,460","10,598","11,601","11,330","10,859","10,507","11,282","11,379","10,635","10,667","11,739","12,478","12,361","13,832","15,090","13,982","14,322","14,584","15,171","15,606","15,889","16,164","16,593","15,572","15,160","14,813","13,793","14,050","14,398","14,245","14,633","16,227","17,905","18,143","18,719","17,555","16,332","17,116","17,156","17,797","19,883","19,861","20,320","21,467","20,838","20,885","21,690","19,653","19,409","19,179","17,932","18,972","19,611","20,717","19,722","18,004","15,778","16,260","14,725","14,370","11,978","11,159","11,718","8,786","8,832","9,215","8,367","7,674","5,121","4,896","5,291","5,415","5,536","3,990","3,234","3,040","2,374","1,961","1,534","1,236",822,580,473,256,142,121,73,42,22,45,"1,201,517","1,201,517","5,248","5,007","5,010","5,404","5,772","6,324","6,981","7,824","8,544","9,755","10,098","10,142","10,181","11,151","10,663","10,323","9,767","10,490","10,960","9,875","9,995","10,899","11,118","10,997","12,503","13,390","12,390","12,709","13,842","14,111","14,141","13,872","14,043","14,444","13,415","12,997","12,678","11,916","12,664","12,750","13,059","14,221","16,376","18,371","18,453","19,160","18,177","16,539","17,474","17,409","18,806","20,436","21,039","21,208","22,302","22,072","22,272","22,541","21,326","19,794","20,759","19,233","20,143","20,798","22,842","22,215","20,144","16,980","17,883","16,593","17,420","13,859","13,903","14,680","11,016","10,988","11,794","11,152","10,518","6,825","7,210","8,274","8,348","8,788","7,129","6,314","5,791","4,927","4,206","3,536","3,085","2,331","1,747","1,407",993,736,525,367,254,133,243
대구광역시 중구 (2711000000),"100,833","100,833",940,843,763,820,722,794,811,787,837,884,824,769,725,800,734,694,661,739,758,737,804,"1,026","1,119","1,174","1,375","1,511","1,490","1,595","1,714","1,747","1,777","1,852","2,022","2,106","1,960","1,899","1,746","1,620","1,588","1,601","1,556","1,480","1,711","1,633","1,618","1,600","1,425","1,245","1,296","1,321","1,355","1,583","1,516","1,536","1,515","1,476","1,394","1,396","1,265","1,171","1,210","1,095","1,151","1,216","1,262","1,245","1,114","1,020","1,134","1,038","1,023",888,837,926,676,748,760,788,746,548,514,620,582,578,431,398,363,324,246,224,175,125,92,95,49,37,25,28,16,3,23,"48,213","48,213",487,435,406,419,371,415,415,382,421,442,406,390,355,412,343,327,356,356,383,340,376,460,507,508,615,687,672,736,776,837,824,885,"1,006","1,019",994,"1,008",904,891,827,877,833,765,906,841,844,837,693,612,643,635,658,753,711,741,750,745,673,698,589,607,586,517,557,561,590,578,523,487,503,455,449,393,339,379,286,305,289,320,289,232,201,234,232,236,163,149,116,96,84,70,61,35,19,29,15,10,8,6,2,1,4,"52,620","52,620",453,408,357,401,351,379,396,405,416,442,418,379,370,388,391,367,305,383,375,397,428,566,612,666,760,824,818,859,938,910,953,967,"1,016","1,087",966,891,842,729,761,724,723,715,805,792,774,763,732,633,653,686,697,830,805,795,765,731,721,698,676,564,624,578,594,655,672,667,591,533,631,583,574,495,498,547,390,443,471,468,457,316,313,386,350,342,268,249,247,228,162,154,114,90,73,66,34,27,17,22,14,2,19
대구광역시 동구 (2714000000),"339,631","339,631","1,715","1,635","1,593","1,692","1,787","1,861","2,047","2,154","2,358","2,539","2,678","2,546","2,511","2,745","2,664","2,610","2,479","2,604","2,667","2,438","2,549","2,773","3,005","2,958","3,339","3,742","3,590","3,736","4,111","4,348","4,534","4,654","4,744","4,859","4,602","4,481","4,312","3,938","4,082","4,030","3,986","4,106","4,678","5,092","5,158","5,291","4,816","4,481","4,732","4,592","4,981","5,342","5,531","5,650","5,998","5,799","5,833","6,115","5,557","5,439","5,687","5,266","5,574","5,788","6,404","6,352","5,818","5,138","5,358","5,055","5,202","4,278","4,083","4,358","3,324","3,288","3,630","3,311","3,063","2,016","2,102","2,364","2,369","2,390","1,864","1,657","1,448","1,181","1,049",829,695,531,368,290,199,121,103,71,47,18,55,"165,906","165,906",896,864,805,888,916,954,"1,071","1,068","1,262","1,230","1,400","1,281","1,278","1,408","1,405","1,358","1,307","1,318","1,388","1,297","1,386","1,459","1,584","1,592","1,675","1,976","1,863","1,987","2,067","2,217","2,313","2,440","2,510","2,611","2,526","2,450","2,363","2,103","2,215","2,142","2,110","2,177","2,421","2,602","2,605","2,691","2,417","2,285","2,382","2,356","2,523","2,646","2,749","2,823","3,022","2,805","2,802","2,991","2,608","2,666","2,730","2,503","2,640","2,751","2,923","2,871","2,646","2,454","2,486","2,335","2,272","1,901","1,793","1,968","1,469","1,443","1,582","1,408","1,287",871,856,939,935,915,679,578,525,378,331,267,213,139,84,77,41,13,16,13,8,2,10,"173,725","173,725",819,771,788,804,871,907,976,"1,086","1,096","1,309","1,278","1,265","1,233","1,337","1,259","1,252","1,172","1,286","1,279","1,141","1,163","1,314","1,421","1,366","1,664","1,766","1,727","1,749","2,044","2,131","2,221","2,214","2,234","2,248","2,076","2,031","1,949","1,835","1,867","1,888","1,876","1,929","2,257","2,490","2,553","2,600","2,399","2,196","2,350","2,236","2,458","2,696","2,782","2,827","2,976","2,994","3,031","3,124","2,949","2,773","2,957","2,763","2,934","3,037","3,481","3,481","3,172","2,684","2,872","2,720","2,930","2,377","2,290","2,390","1,855","1,845","2,048","1,903","1,776","1,145","1,246","1,425","1,434","1,475","1,185","1,079",923,803,718,562,482,392,284,213,158,108,87,58,39,16,45
대구광역시 서구 (2717000000),"163,395","163,395",673,609,587,609,596,633,691,717,827,933,922,891,921,970,987,911,948,"1,018","1,059","1,006",984,"1,098","1,158","1,264","1,471","1,615","1,600","1,784","1,860","1,970","2,102","2,075","2,171","2,337","2,066","1,902","1,797","1,617","1,709","1,691","1,664","1,716","1,878","2,083","2,043","2,219","2,002","1,850","1,985","2,008","2,291","2,466","2,629","2,645","2,867","2,963","3,168","3,305","3,192","3,239","3,336","3,227","3,345","3,608","3,963","3,722","3,391","2,919","3,085","2,864","2,959","2,424","2,361","2,602","1,857","1,825","2,000","1,853","1,661","1,066","1,105","1,306","1,264","1,323",979,808,775,625,527,418,333,242,178,141,98,72,41,40,29,10,21,"80,903","80,903",328,327,306,317,312,339,365,366,411,496,472,450,452,480,487,437,465,544,533,516,529,628,622,688,782,850,828,967,958,"1,030","1,124","1,135","1,222","1,314","1,184","1,088","1,027",921,963,984,927,962,"1,028","1,079","1,139","1,147","1,077",989,"1,072","1,039","1,200","1,358","1,365","1,348","1,456","1,499","1,547","1,674","1,577","1,606","1,641","1,607","1,694","1,740","1,929","1,755","1,552","1,379","1,474","1,302","1,284","1,081","1,047","1,087",800,852,899,780,671,431,450,489,505,503,355,267,253,202,162,127,85,59,47,21,7,9,8,5,5,2,1,"82,492","82,492",345,282,281,292,284,294,326,351,416,437,450,441,469,490,500,474,483,474,526,490,455,470,536,576,689,765,772,817,902,940,978,940,949,"1,023",882,814,770,696,746,707,737,754,850,"1,004",904,"1,072",925,861,913,969,"1,091","1,108","1,264","1,297","1,411","1,464","1,621","1,631","1,615","1,633","1,695","1,620","1,651","1,868","2,034","1,967","1,839","1,540","1,611","1,562","1,675","1,343","1,314","1,515","1,057",973,"1,101","1,073",990,635,655,817,759,820,624,541,522,423,365,291,248,183,131,120,91,63,33,35,24,8,20
대구광역시 남구 (2720000000),"135,692","135,692",473,460,464,445,462,517,495,549,606,662,667,706,728,786,800,783,784,834,941,"1,041","1,037","1,316","1,443","1,429","1,600","1,815","1,721","1,775","1,895","2,006","1,927","1,916","1,841","1,860","1,704","1,641","1,517","1,332","1,382","1,383","1,382","1,437","1,607","1,792","1,807","1,817","1,737","1,606","1,741","1,713","1,874","2,099","2,226","2,314","2,409","2,461","2,327","2,529","2,396","2,084","2,280","2,107","2,351","2,477","2,716","2,562","2,520","2,228","2,384","2,116","2,373","1,899","1,893","1,958","1,513","1,481","1,622","1,598","1,467",993,973,"1,103","1,184","1,182",990,822,779,617,559,432,378,295,211,161,115,72,73,43,23,15,26,"64,561","64,561",229,248,229,237,252,269,266,291,313,341,343,337,383,402,406,412,391,442,482,526,501,623,709,691,743,837,814,832,935,974,"1,008","1,016",941,990,916,922,857,741,753,756,748,728,803,898,914,936,866,802,843,836,898,"1,081","1,105","1,141","1,188","1,223","1,171","1,273","1,162","1,057","1,065",938,"1,137","1,168","1,259","1,130","1,123","1,046","1,080",941,"1,047",840,804,863,624,668,680,649,580,400,357,433,445,456,355,279,277,196,194,132,107,87,59,49,23,15,10,7,3,2,2,"71,131","71,131",244,212,235,208,210,248,229,258,293,321,324,369,345,384,394,371,393,392,459,515,536,693,734,738,857,978,907,943,960,"1,032",919,900,900,870,788,719,660,591,629,627,634,709,804,894,893,881,871,804,898,877,976,"1,018","1,121","1,173","1,221","1,238","1,156","1,256","1,234","1,027","1,215","1,169","1,214","1,309","1,457","1,432","1,397","1,182","1,304","1,175","1,326","1,059","1,089","1,095",889,813,942,949,887,593,616,670,739,726,635,543,502,421,365,300,271,208,152,112,92,57,63,36,20,13,24
대구광역시 북구 (2723000000),"410,934","410,934","1,788","1,683","1,627","1,853","1,944","2,126","2,340","2,657","2,863","3,387","3,505","3,527","3,561","3,891","3,843","3,673","3,615","3,918","4,173","3,996","4,265","4,722","5,085","5,032","5,505","5,941","5,210","5,100","5,340","5,170","5,357","5,200","5,177","5,239","4,911","4,633","4,670","4,304","4,371","4,501","4,498","4,812","5,331","6,027","6,163","6,446","6,112","5,680","6,136","6,264","6,842","7,637","7,747","7,855","8,118","8,044","7,851","8,173","7,426","7,116","7,062","6,380","6,838","7,051","7,494","7,125","6,352","5,487","5,452","5,034","4,885","4,120","3,856","4,048","3,114","3,083","3,342","3,085","2,794","1,899","1,922","2,194","2,166","2,357","1,761","1,538","1,430","1,086",894,742,639,467,366,284,193,138,87,68,49,25,46,"203,316","203,316",910,877,833,937,"1,002","1,081","1,238","1,359","1,429","1,747","1,793","1,799","1,825","1,992","2,009","1,882","1,828","2,032","2,129","2,028","2,074","2,349","2,711","2,752","3,032","3,313","2,863","2,780","2,831","2,769","2,869","2,835","2,831","2,891","2,654","2,477","2,570","2,346","2,325","2,396","2,398","2,494","2,636","3,002","3,032","3,212","2,978","2,815","2,990","3,072","3,283","3,686","3,724","3,869","3,990","3,922","3,859","4,147","3,599","3,600","3,385","3,094","3,329","3,494","3,615","3,426","3,110","2,729","2,673","2,343","2,213","1,957","1,706","1,841","1,383","1,364","1,428","1,288","1,170",781,748,789,834,934,592,504,483,366,283,206,181,114,86,67,35,21,12,10,7,2,7,"207,618","207,618",878,806,794,916,942,"1,045","1,102","1,298","1,434","1,640","1,712","1,728","1,736","1,899","1,834","1,791","1,787","1,886","2,044","1,968","2,191","2,373","2,374","2,280","2,473","2,628","2,347","2,320","2,509","2,401","2,488","2,365","2,346","2,348","2,257","2,156","2,100","1,958","2,046","2,105","2,100","2,318","2,695","3,025","3,131","3,234","3,134","2,865","3,146","3,192","3,559","3,951","4,023","3,986","4,128","4,122","3,992","4,026","3,827","3,516","3,677","3,286","3,509","3,557","3,879","3,699","3,242","2,758","2,779","2,691","2,672","2,163","2,150","2,207","1,731","1,719","1,914","1,797","1,624","1,118","1,174","1,405","1,332","1,423","1,169","1,034",947,720,611,536,458,353,280,217,158,117,75,58,42,23,39
대구광역시 수성구 (2726000000),"409,491","409,491","1,454","1,448","1,555","1,862","2,026","2,257","2,861","3,261","3,628","4,169","4,441","4,608","4,845","5,208","4,960","4,680","4,531","4,967","4,878","4,271","3,976","4,268","4,271","4,077","4,554","4,812","4,263","4,276","4,348","4,381","4,302","4,279","4,319","4,335","4,160","4,147","4,094","3,933","4,334","4,418","4,754","5,174","5,859","6,776","6,943","7,214","6,996","6,398","6,637","6,774","7,010","7,489","7,578","7,655","8,133","7,793","7,733","7,629","7,013","6,414","6,531","6,139","6,285","6,095","6,419","6,428","5,893","5,111","5,379","4,948","4,966","4,070","4,056","4,075","3,156","3,232","3,302","3,118","3,034","1,937","1,995","2,221","2,299","2,313","1,869","1,597","1,439","1,299","1,076",889,801,577,444,345,226,154,127,76,55,43,43,"196,740","196,740",741,687,792,984,"1,031","1,178","1,497","1,700","1,867","2,164","2,332","2,353","2,493","2,692","2,587","2,412","2,392","2,587","2,528","2,263","2,148","2,337","2,347","2,158","2,456","2,587","2,296","2,223","2,169","2,232","2,199","2,234","2,280","2,232","2,117","2,023","2,034","1,979","2,091","2,165","2,284","2,406","2,645","3,089","3,165","3,310","3,284","3,018","3,129","3,181","3,224","3,457","3,507","3,600","3,834","3,592","3,722","3,653","3,361","3,125","3,097","2,952","3,006","2,898","3,044","3,033","2,755","2,358","2,476","2,299","2,289","1,894","1,791","1,784","1,347","1,398","1,411","1,312","1,296",837,824,906,916,915,707,567,540,457,358,300,240,170,138,102,55,29,29,16,8,7,6,"212,751","212,751",713,761,763,878,995,"1,079","1,364","1,561","1,761","2,005","2,109","2,255","2,352","2,516","2,373","2,268","2,139","2,380","2,350","2,008","1,828","1,931","1,924","1,919","2,098","2,225","1,967","2,053","2,179","2,149","2,103","2,045","2,039","2,103","2,043","2,124","2,060","1,954","2,243","2,253","2,470","2,768","3,214","3,687","3,778","3,904","3,712","3,380","3,508","3,593","3,786","4,032","4,071","4,055","4,299","4,201","4,011","3,976","3,652","3,289","3,434","3,187","3,279","3,197","3,375","3,395","3,138","2,753","2,903","2,649","2,677","2,176","2,265","2,291","1,809","1,834","1,891","1,806","1,738","1,100","1,171","1,315","1,383","1,398","1,162","1,030",899,842,718,589,561,407,306,243,171,125,98,60,47,36,37
대구광역시 달서구 (2729000000),"518,434","518,434","2,217","2,101","2,044","2,109","2,419","2,606","2,982","3,248","3,630","4,407","4,605","4,532","4,520","5,161","5,006","4,986","4,787","5,050","5,324","4,929","4,962","5,478","5,519","5,456","6,219","6,544","6,132","6,184","6,396","6,747","6,688","6,591","6,668","6,721","6,148","5,977","5,751","5,477","5,510","5,647","5,589","6,059","6,913","7,796","7,768","8,035","7,841","7,425","7,685","7,814","8,052","9,178","9,303","9,414","10,126","9,843","10,212","10,323","9,666","9,224","9,288","8,688","9,119","9,387","10,125","9,696","8,578","7,109","7,466","6,687","6,836","5,417","5,335","5,529","3,998","4,023","4,111","3,781","3,556","2,284","2,237","2,499","2,521","2,697","2,039","1,766","1,667","1,361","1,132",994,798,532,415,342,213,166,118,70,42,24,44,"253,743","253,743","1,149","1,090","1,047","1,081","1,263","1,297","1,553","1,644","1,890","2,299","2,324","2,307","2,280","2,569","2,562","2,571","2,494","2,609","2,654","2,517","2,505","2,815","2,864","2,859","3,285","3,460","3,267","3,324","3,306","3,507","3,547","3,588","3,590","3,618","3,394","3,325","3,104","2,907","2,922","3,002","2,887","2,971","3,492","3,807","3,805","3,898","3,758","3,644","3,728","3,856","3,817","4,512","4,409","4,495","4,847","4,746","4,875","4,880","4,555","4,437","4,412","4,138","4,442","4,527","4,768","4,542","4,082","3,425","3,591","3,245","3,123","2,537","2,403","2,425","1,851","1,792","1,830","1,683","1,537","1,023",925,978,"1,021","1,024",735,598,551,441,341,282,216,142,94,80,51,27,25,8,4,4,12,"264,691","264,691","1,068","1,011",997,"1,028","1,156","1,309","1,429","1,604","1,740","2,108","2,281","2,225","2,240","2,592","2,444","2,415","2,293","2,441","2,670","2,412","2,457","2,663","2,655","2,597","2,934","3,084","2,865","2,860","3,090","3,240","3,141","3,003","3,078","3,103","2,754","2,652","2,647","2,570","2,588","2,645","2,702","3,088","3,421","3,989","3,963","4,137","4,083","3,781","3,957","3,958","4,235","4,666","4,894","4,919","5,279","5,097","5,337","5,443","5,111","4,787","4,876","4,550","4,677","4,860","5,357","5,154","4,496","3,684","3,875","3,442","3,713","2,880","2,932","3,104","2,147","2,231","2,281","2,098","2,019","1,261","1,312","1,521","1,500","1,673","1,304","1,168","1,116",920,791,712,582,390,321,262,162,139,93,62,38,20,32
대구광역시 달성군 (2771000000),"254,935","254,935","1,426","1,519","1,544","1,718","1,893","2,157","2,352","2,499","2,726","3,009","3,053","2,954","2,900","3,099","2,918","2,749","2,388","2,548","2,437","2,013","2,000","1,885","1,925","1,887","2,189","2,391","2,270","2,484","2,647","2,817","2,943","3,055","3,164","3,477","3,316","3,381","3,513","3,385","3,606","3,762","3,744","3,959","4,478","4,932","4,937","5,079","4,626","4,000","4,207","3,862","3,975","4,279","4,104","4,146","4,284","4,183","4,218","4,318","4,017","4,006","3,965","3,742","3,918","4,168","4,461","4,094","3,799","3,161","3,255","2,953","2,944","2,261","2,163","2,365","1,743","1,729","1,822","1,575","1,465",959,977,975,"1,032","1,070",882,700,685,563,487,374,331,272,178,163,113,88,53,36,21,14,26,"129,166","129,166",730,786,763,851,945,"1,117","1,214","1,252","1,356","1,538","1,556","1,509","1,488","1,599","1,485","1,411","1,222","1,342","1,227","1,102","1,098","1,028","1,089","1,063","1,192","1,314","1,321","1,420","1,476","1,551","1,656","1,670","1,721","1,848","1,714","1,815","1,900","1,848","1,869","2,021","1,986","2,066","2,215","2,506","2,552","2,585","2,372","2,049","2,230","2,062","2,061","2,250","2,126","2,131","2,209","2,108","1,993","2,131","1,939","2,010","1,933","1,884","1,893","2,111","2,213","1,997","1,852","1,573","1,617","1,469","1,369","1,121","1,019","1,107",827,820,861,734,652,429,418,405,394,392,293,208,211,165,146,101,88,49,34,42,21,9,10,4,2,2,3,"125,769","125,769",696,733,781,867,948,"1,040","1,138","1,247","1,370","1,471","1,497","1,445","1,412","1,500","1,433","1,338","1,166","1,206","1,210",911,902,857,836,824,997,"1,077",949,"1,064","1,171","1,266","1,287","1,385","1,443","1,629","1,602","1,566","1,613","1,537","1,737","1,741","1,758","1,893","2,263","2,426","2,385","2,494","2,254","1,951","1,977","1,800","1,914","2,029","1,978","2,015","2,075","2,075","2,225","2,187","2,078","1,996","2,032","1,858","2,025","2,057","2,248","2,097","1,947","1,588","1,638","1,484","1,575","1,140","1,144","1,258",916,909,961,841,813,530,559,570,638,678,589,492,474,398,341,273,243,223,144,121,92,79,43,32,19,12,23
대구광역시 군위군 (2772000000),"22,332","22,332",56,43,32,42,38,50,46,39,44,49,56,69,68,92,81,96,81,94,102,79,85,72,71,81,83,109,96,97,115,96,117,139,101,103,120,96,91,103,132,115,131,111,148,145,159,178,177,186,171,217,223,246,266,313,319,348,421,443,447,510,579,521,534,619,715,713,683,585,630,623,602,480,478,537,421,411,420,410,406,244,281,283,346,414,304,262,245,245,197,168,171,112,75,59,43,30,19,8,14,3,4,"11,612","11,612",24,20,18,32,23,27,25,25,26,27,27,34,44,47,46,49,52,52,55,46,50,40,45,50,52,66,58,53,66,54,66,86,63,70,73,52,54,57,85,55,72,64,81,81,87,103,110,118,99,119,133,140,165,172,171,198,243,243,263,301,330,299,274,361,376,390,361,327,360,336,324,254,257,264,199,190,235,193,192,117,117,118,133,161,111,84,84,73,62,49,45,27,19,6,8,9,3,4,3,0,0,"10,720","10,720",32,23,14,10,15,23,21,14,18,22,29,35,24,45,35,47,29,42,47,33,35,32,26,31,31,43,38,44,49,42,51,53,38,33,47,44,37,46,47,60,59,47,67,64,72,75,67,68,72,98,90,106,101,141,148,150,178,200,184,209,249,222,260,258,339,323,322,258,270,287,278,226,221,273,222,221,185,217,214,127,164,165,213,253,193,178,161,172,135,119,126,85,56,53,35,21,16,4,11,3,4